File Name,Case Type,Court,Year,Topic,Summary,Local Path
civil_general_pakistan_unknown_JP473-2018.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP473-2018.pdf
civil_general_pakistan_unknown_LifeImprisonment-Sessions_6.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LifeImprisonment-Sessions_6.pdf
civil_general_pakistan_unknown_JP470-2020.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP470-2020.pdf
civil_general_pakistan_unknown_LifeImprisonment-LifeImprisonment_4.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LifeImprisonment-LifeImprisonment_4.pdf
civil_general_pakistan_unknown_JP813-2017.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP813-2017.pdf
civil_general_pakistan_unknown_Rent-Ejectment.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Rent-Ejectment.pdf
civil_general_pakistan_unknown_CPLA1032-K-2025.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA1032-K-2025.pdf
civil_general_pakistan_unknown_Upto5years-Upto5years.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Upto5years-Upto5years.pdf
civil_general_pakistan_unknown_CrlPLA966-2018.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlPLA966-2018.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions.pdf
civil_general_pakistan_unknown_JP243-2023.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP243-2023.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions_1.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions_1.pdf
civil_general_pakistan_unknown_JP50-2023.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP50-2023.pdf
civil_general_pakistan_unknown_LifeImprisonment-LifeImprisonment_5.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LifeImprisonment-LifeImprisonment_5.pdf
